"monthly_rent_payment","overcrowding_by_bedrooms","number_of_all_rooms_in_the_house","overcrowding_by_rooms","has_bathroom_in_the_household","if_the_household_has_refrigerator","males_younger_than_12_years_of_age","males_12_years_of_age_and_older","total_males_in_the_household","females_younger_than_12_years_of_age","females_12_years_of_age_and_older","total_females_in_the_household","persons_younger_than_12_years_of_age","persons_12_years_of_age_and_older","number_of_persons_living_in_the_household","years_of_schooling","years_behind_in_school","household_size","if_predominant_material_on_the_outside_wall_is_block_or_brick","if_predominant_material_on_the_outside_wall_is_socket_wood_zinc_or_absbesto","if_predominant_material_on_the_outside_wall_is_prefabricated_or_cement","if_predominant_material_on_the_outside_wall_is_waste_material","if_predominant_material_on_the_outside_wall_is_wood","if_predominant_material_on_the_outside_wall_is_zink","if_predominant_material_on_the_outside_wall_is_natural_fibers","if_predominant_material_on_the_outside_wall_is_other","if_predominant_material_on_the_floor_is_mosaic_ceramic_terrazo","if_predominant_material_on_the_floor_is_cement","if_predominant_material_on_the_floor_is_other","if_predominant_material_on_the_floor_is_natural_material","if_no_floor_at_the_household","if_predominant_material_on_the_floor_is_wood","if_predominant_material_on_the_roof_is_metal_foil_or_zink","if_predominant_material_on_the_roof_is_fiber_cement_mezzanine","if_predominant_material_on_the_roof_is_natural_fibers","if_predominant_material_on_the_roof_is_other","if_the_house_has_ceiling","if_water_provision_inside_the_dwelling","if_water_provision_outside_the_dwelling","if_no_water_provision","electricity_from_cnfl_ice_esph_or_jasec","electricity_from_private_plant","no_electricity_in_the_dwelling","no_toilet_in_the_dwelling","toilet_connected_to_septic_tank","toilet_connected_to_black_hole_or_letrine","toilet_connected_to_other_system","no_main_source_of_energy_used_for_cooking_no_kitchen","main_source_of_energy_used_for_cooking_electricity","main_source_of_energy_used_for_cooking_gas","main_source_of_energy_used_for_cooking_wood_charcoal","if_rubbish_disposal_mainly_by_tanker_truck","if_rubbish_disposal_mainly_by_botan_hollow_or_buried","if_rubbish_disposal_mainly_by_burning","if_rubbish_disposal_mainly_by_throwing_in_an_unoccupied_space","if_rubbish_disposal_mainly_other","if_walls_are_bad","if_walls_are_regular","if_walls_are_good","if_roof_are_bad","if_roof_are_regular","if_roof_are_good","if_floor_are_bad","if_floor_are_regular","if_floor_are_good","if_disable_person","if_male","if_female","if_less_than_10_years_old","if_free_or_coupled_uunion","if_married","if_divorced","if_separated","if_single","if_household_head","number_of_children_0_to_19_in_household","number_of_adults_in_household","no_of_individuals_65_plus_in_the_household","of_total_individuals_in_the_household","dependency","edjefe","edjefa","meaneduc","no_level_of_education","incomplete_primary","complete_primary","incomplete_academic_secondary_level","complete_academic_secondary_level","incomplete_technical_secondary_level","complete_technical_secondary_level","undergraduate_and_higher_education","postgraduate_higher_education","bedrooms","overcrowding","own_and_fully_paid_house","own_paying_in_installments","rented","precarious","other_assigned_borrowed","if_the_household_has_notebook_or_desktop_computer","if_the_household_has_tv","no_of_mobile_phones","region_central","region_chorotega","region_pacafico_central","region_huetar_atlantica","region_huetar_norte","area_zona_urbana","area_zona_rural","age_in_years","years_of_education_of_male_head_of_household_squared","target"
0,0,4,0,1,1,0,2,2,0,1,1,0,3,3,5.66666666666667,1.66666666666667,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1,0,3,2,0,6,6,0,0,1,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,44,0,"one"
0,0,5,0,1,0,1,1,2,0,2,2,1,3,4,2,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2,2,0,4,1,2,0,4,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,44,4,"one"
110000,0,4,0,1,1,0,1,1,0,3,3,0,4,4,5,1.25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,1,0,4,3,0,6,11,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,38,0,"two"
0,0,4,0,1,1,0,2,2,0,0,0,0,2,2,4.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,2,1,3,0,4.5,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,74,9,"two"
80000,1,1,1,1,1,1,1,2,0,1,1,1,2,6,6,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,3,0.5,10,0,9,0,0,0,1,0,0,0,0,0,1,6,0,0,1,0,0,0,1,3,1,0,0,0,0,1,0,30,100,"four"
50000,0,5,0,1,1,0,1,1,1,2,3,1,3,4,5.5,0.25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,2,0,4,1,8,0,7,0,0,0,1,0,0,0,0,0,3,1.3333334,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,43,64,"three"
0,0,5,0,1,1,0,0,0,0,1,1,0,1,1,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,8,0,15,15,0,0,0,0,0,0,0,1,0,2,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,68,0,"four"
0,0,4,0,1,1,1,2,3,0,1,1,1,3,4,5.5,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,0,4,1,6,0,7.5,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,28,36,"four"
0,0,3,0,1,1,0,3,3,0,2,2,0,5,5,6.8,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3,2,0,5,1.5,6,0,10.5,0,0,1,0,0,0,0,0,0,2,2.5,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,35,36,"two"
120000,0,4,0,1,1,0,1,1,1,2,3,1,3,4,5,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,3,0,4,0.33333334,6,0,6.6666665,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,50,36,"three"
0,0,6,0,1,1,0,0,0,1,2,3,1,2,3,7.5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,2,1,0,15,15,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,27,0,"four"
0,0,5,0,1,1,0,1,1,0,1,1,0,2,2,6,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,2,2,2,8,6,0,6,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,71,36,"four"
0,0,6,0,1,1,1,0,1,0,2,2,1,2,3,10.6666666666667,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2,0,3,0.5,0,15,14.5,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,57,0,"four"
0,0,4,0,1,1,1,1,2,1,1,2,2,2,4,6.75,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0,4,1,16,0,13.5,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,36,256,"three"
0,1,3,1,1,1,1,2,3,2,2,4,3,4,7,2.71428571428571,0.142857142857143,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,4,0,7,0.75,0,0,4.5,1,0,0,0,0,0,0,0,0,2,3.5,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,60,0,"two"
0,0,4,0,1,1,1,1,2,0,3,3,1,4,5,3.6,0.2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,2,0,5,1.5,6,0,3.5,0,0,1,0,0,0,0,0,0,2,2.5,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,38,36,"two"
0,0,5,0,1,1,1,0,1,0,1,1,1,1,2,7.5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,2,1,0,11,11,0,0,0,0,1,0,0,0,0,3,0.66666669,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,46,0,"two"
0,0,6,0,1,1,0,0,0,0,4,4,0,4,4,10.25,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,4,2,4,1,0,3,10.25,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,88,0,"four"
70000,0,5,0,1,0,0,1,1,0,0,0,0,1,1,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,6,0,6,0,0,1,0,0,0,0,0,0,3,0.33333334,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,50,36,"one"
0,0,5,0,1,1,0,1,1,0,2,2,0,3,3,7,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,3,0.5,0,4,7,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,72,0,"two"
0,0,2,0,1,1,0,1,1,0,1,1,0,2,2,1.5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,2,1,1,0,1.5,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,76,1,"three"
0,0,3,0,1,1,0,1,1,1,1,2,1,2,3,6.66666666666667,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0,3,0.5,11,0,10,0,0,0,0,1,0,0,0,0,2,1.5,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,27,121,"four"
0,0,5,0,1,1,0,2,2,0,2,2,0,4,4,7.25,0.75,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,2,0,4,1,7,0,6.5,0,0,0,1,0,0,0,0,0,3,1.3333334,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,39,49,"four"
0,0,2,0,1,1,0,1,1,0,1,1,0,2,2,2.5,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,1,2,1,0,2,2.5,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,71,0,"two"
75000,0,4,0,1,1,0,0,0,1,1,2,1,1,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,2,1,0,3,3,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,42,0,"three"
2e+05,0,5,0,1,1,0,2,2,1,2,3,1,4,5,8,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,3,0,5,0.66666669,9,0,10,0,0,0,1,0,0,0,0,0,3,1.6666666,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,44,81,"four"
0,0,4,0,1,1,2,0,2,0,1,1,2,1,3,3.33333333333333,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,3,2,0,10,10,0,0,0,1,0,0,0,0,0,2,1.5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,26,0,"one"
0,0,5,0,1,1,1,3,4,0,2,2,1,5,6,7,0.333333333333333,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,4,2,0,6,2,0,9,12.5,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,38,0,"four"
30000,0,5,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,8,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,78,1,"three"
0,1,3,0,1,1,0,2,2,0,2,2,0,4,4,3.75,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,2,4,1,3,0,3.75,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,77,9,"three"
0,0,6,0,1,1,0,0,0,0,3,3,0,3,3,14.3333333333333,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3,0,3,0,0,14,14.333333,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,3,1,0,0,0,0,1,0,45,0,"four"
0,0,3,0,1,1,0,1,1,0,1,1,0,2,2,8.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,0,11,8.5,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,63,0,"four"
0,0,5,0,1,1,0,1,1,0,1,1,0,2,2,10,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,2,0,2,0,0,11,10,0,0,0,0,1,0,0,0,0,3,0.66666669,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,54,0,"one"
51000,0,5,0,1,1,0,1,1,1,1,2,1,2,3,7.33333333333333,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1,0,3,2,0,11,21,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,46,0,"one"
130000,0,3,0,1,1,0,2,2,0,2,2,0,4,4,8.25,0.25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2,2,0,4,1,11,0,8.5,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,28,121,"four"
0,0,2,0,1,1,1,1,2,0,1,1,1,2,3,5,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,3,0.5,4,0,7.5,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,26,16,"two"
0,0,4,0,1,1,0,0,0,0,2,2,0,2,2,10.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,6,10.5,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,60,0,"four"
0,0,9,0,1,1,0,0,0,0,2,2,0,2,2,16,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,2,1,0,16,16,0,0,0,0,0,0,0,1,0,4,0.5,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,79,0,"four"
0,0,3,0,1,1,0,2,2,2,1,3,2,3,5,4.4,0.6,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,2,0,5,1.5,6,0,6,0,0,1,0,0,0,0,0,0,2,2.5,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,40,36,"two"
110000,0,5,0,1,1,1,0,1,1,2,3,2,2,4,3.75,0.25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,1,0,4,3,0,9,9,0,0,0,1,0,0,0,0,0,3,1.3333334,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,28,0,"two"
0,0,3,0,1,1,0,1,1,0,1,1,0,2,2,3.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2,2,8,6,0,3.5,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,76,36,"two"
0,0,4,0,1,1,0,2,2,0,1,1,0,3,3,8.33333333333333,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,2,3,8,5,0,7,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,68,25,"four"
0,0,4,0,1,1,0,0,0,1,1,2,1,1,2,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,2,1,0,8,8,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,0,"one"
40000,0,4,0,1,1,0,1,1,0,1,1,0,2,2,4.5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,2,0,0,7,4.5,0,0,0,1,0,0,0,0,0,3,0.66666669,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,49,0,"two"
0,0,6,0,1,1,0,1,1,0,1,1,0,2,2,14.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,12,14.5,0,0,0,0,0,0,1,0,0,3,0.66666669,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,60,0,"four"
0,0,5,0,1,1,1,1,2,0,1,1,1,2,3,7.33333333333333,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,0,3,0.5,11,0,11,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,28,121,"four"
0,0,5,0,1,1,0,2,2,0,1,1,0,3,3,5,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,3,1,3,0.5,2,0,5,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,73,4,"three"
0,0,5,0,1,1,0,1,1,2,3,5,2,4,6,4.66666666666667,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,3,3,0,6,1,6,0,6,0,0,1,0,0,0,0,0,0,4,1.5,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,48,36,"two"
0,0,5,0,1,1,0,3,3,0,4,4,0,7,7,7.57142857142857,0.428571428571429,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,4,0,7,0.75,0,6,10.25,0,0,1,0,0,0,0,0,0,3,2.3333333,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,64,0,"two"
0,0,4,0,1,0,0,0,0,0,1,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,0,1,0,0,0,0,0,0,0,2,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,58,0,"two"
0,0,4,0,1,1,0,1,1,1,1,2,1,2,3,6,0.666666666666667,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,3,2,0,7,7,0,0,0,1,0,0,0,0,0,2,1.5,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,37,0,"three"
0,0,7,0,1,1,1,2,3,1,3,4,2,5,7,5.28571428571429,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,0,7,1.3333334,0,8,6.6666665,0,0,0,1,0,0,0,0,0,4,1.75,1,0,0,0,0,0,1,7,1,0,0,0,0,1,0,44,0,"two"
0,0,7,0,1,1,0,1,1,1,2,3,1,3,4,6.25,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,3,0,4,0.33333334,6,0,8.333333,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,64,36,"one"
